season,round,home,away,score,goal_diff,home_position,away_position,home_tier,away_tier,match_type
2009/10,22,Hapoel Haifa,Bnei Yehuda,0:3,3,10,4,Middle,Top,Middle vs Top
2009/10,23,FC Ashdod,H. Beer Sheva,5:2,3,5,7,Middle,Middle,Middle vs Middle
2009/10,24,Hapoel Raanana,Bnei Yehuda,0:3,3,15,4,Bottom,Top,Bottom vs Top
2009/10,25,Hapoel Acre,B. Jerusalem,0:3,3,14,6,Bottom,Middle,Bottom vs Middle
2009/10,25,M. Ahi Nazareth,Maccabi Haifa,0:5,5,15,1,Bottom,Top,Bottom vs Top
2009/10,25,FC Ashdod,Maccabi Netanya,3:0,3,5,7,Middle,Middle,Middle vs Middle
2009/10,26,Maccabi Netanya,M. Ahi Nazareth,5:0,5,9,15,Middle,Bottom,Bottom vs Middle
2009/10,26,Hapoel Tel Aviv,Bnei Yehuda,4:0,4,2,4,Top,Top,Top vs Top
2009/10,28,B. Jerusalem,M. Ahi Nazareth,5:0,5,5,15,Middle,Bottom,Bottom vs Middle
2009/10,28,Maccabi Haifa,H. Petah Tikva,3:0,3,1,13,Top,Bottom,Bottom vs Top
2009/10,29,Hapoel Raanana,Hapoel Tel Aviv,1:4,3,16,2,Bottom,Top,Bottom vs Top
2010/11,1,Maccabi Netanya,B. Jerusalem,4:1,3,1,16,Top,Bottom,Bottom vs Top
2010/11,2,Hapoel Tel Aviv,H. Ashkelon,5:1,4,11,2,Bottom,Top,Bottom vs Top
2010/11,3,M. Tel Aviv,Bnei Sakhnin,4:0,4,8,14,Middle,Bottom,Bottom vs Middle
2010/11,4,B. Jerusalem,H. Beer Sheva,5:1,4,16,7,Bottom,Middle,Bottom vs Middle
2010/11,6,Hapoel Haifa,Kiryat Shmona,1:4,3,4,1,Top,Top,Top vs Top
2010/11,6,H. Petah Tikva,M. Petah Tikva,1:4,3,15,8,Bottom,Middle,Bottom vs Middle
2010/11,8,FC Ashdod,B. Jerusalem,3:0,3,12,13,Bottom,Bottom,Bottom vs Bottom
2010/11,8,Hapoel Acre,Kiryat Shmona,3:0,3,9,1,Middle,Top,Middle vs Top
2010/11,8,H. Ashkelon,Maccabi Netanya,0:4,4,7,5,Middle,Middle,Middle vs Middle
2010/11,10,Kiryat Shmona,Maccabi Netanya,3:0,3,3,6,Top,Middle,Middle vs Top
2010/11,12,H. Ashkelon,Maccabi Haifa,0:3,3,12,3,Bottom,Top,Bottom vs Top
2010/11,13,H. Petah Tikva,Hapoel Tel Aviv,1:5,4,14,3,Bottom,Top,Bottom vs Top
2010/11,13,B. Jerusalem,H. Ashkelon,4:0,4,12,13,Bottom,Bottom,Bottom vs Bottom
2010/11,14,Hapoel Acre,B. Jerusalem,3:0,3,7,12,Middle,Bottom,Bottom vs Middle
2010/11,15,Maccabi Haifa,Maccabi Netanya,3:0,3,1,9,Top,Middle,Middle vs Top
2010/11,15,M. Petah Tikva,Bnei Yehuda,3:0,3,6,11,Middle,Bottom,Bottom vs Middle
2010/11,15,Hapoel Tel Aviv,H. Ramat Gan,4:0,4,2,16,Top,Bottom,Bottom vs Top
2010/11,16,Hapoel Tel Aviv,Hapoel Haifa,5:0,5,2,7,Top,Middle,Middle vs Top
2010/11,16,Maccabi Haifa,M. Tel Aviv,3:0,3,1,3,Top,Top,Top vs Top
2010/11,17,Hapoel Acre,H. Petah Tikva,3:0,3,6,14,Middle,Bottom,Bottom vs Middle
2010/11,17,Kiryat Shmona,FC Ashdod,3:0,3,4,7,Top,Middle,Middle vs Top
2010/11,18,H. Ramat Gan,H. Ashkelon,0:4,4,16,13,Bottom,Bottom,Bottom vs Bottom
2010/11,18,Hapoel Tel Aviv,Hapoel Acre,4:1,3,2,5,Top,Middle,Middle vs Top
2010/11,19,M. Tel Aviv,FC Ashdod,4:1,3,3,7,Top,Middle,Middle vs Top
2010/11,20,H. Ramat Gan,Kiryat Shmona,0:3,3,16,4,Bottom,Top,Bottom vs Top
2010/11,21,H. Beer Sheva,FC Ashdod,5:0,5,9,7,Middle,Middle,Middle vs Middle
2010/11,22,H. Ramat Gan,M. Tel Aviv,0:3,3,16,3,Bottom,Top,Bottom vs Top
2010/11,23,Maccabi Netanya,H. Ashkelon,3:0,3,7,14,Middle,Bottom,Bottom vs Middle
2010/11,23,M. Petah Tikva,H. Ramat Gan,4:1,3,6,16,Middle,Bottom,Bottom vs Middle
2010/11,23,H. Beer Sheva,Hapoel Tel Aviv,0:3,3,9,2,Middle,Top,Middle vs Top
2010/11,24,Hapoel Tel Aviv,Maccabi Haifa,4:1,3,2,1,Top,Top,Top vs Top
2010/11,25,M. Petah Tikva,H. Ashkelon,4:0,4,5,14,Middle,Bottom,Bottom vs Middle
2010/11,26,Kiryat Shmona,M. Tel Aviv,4:0,4,4,3,Top,Top,Top vs Top
2010/11,27,Maccabi Haifa,H. Ashkelon,3:0,3,1,15,Top,Bottom,Bottom vs Top
2010/11,27,M. Tel Aviv,Maccabi Netanya,0:3,3,3,9,Top,Middle,Middle vs Top
2010/11,28,Hapoel Haifa,Bnei Sakhnin,4:1,3,9,14,Middle,Bottom,Bottom vs Middle
2010/11,30,H. Ashkelon,FC Ashdod,4:1,3,15,11,Bottom,Bottom,Bottom vs Bottom
2011/12,1,Maccabi Netanya,Maccabi Haifa,1:4,3,13,1,Bottom,Top,Bottom vs Top
2011/12,1,Hapoel Tel Aviv,M. Petah Tikva,4:1,3,8,13,Middle,Bottom,Bottom vs Middle
2011/12,2,M. Tel Aviv,FC Ashdod,4:0,4,3,4,Top,Top,Top vs Top
2011/12,3,Bnei Sakhnin,Ramat haSharon,3:0,3,11,15,Bottom,Bottom,Bottom vs Bottom
2011/12,6,Maccabi Haifa,Ramat haSharon,5:0,5,7,13,Middle,Bottom,Bottom vs Middle
2011/12,6,H. Beer Sheva,M. Tel Aviv,1:4,3,15,1,Bottom,Top,Bottom vs Top
2011/12,7,FC Ashdod,B. Jerusalem,3:0,3,12,9,Bottom,Middle,Bottom vs Middle
2011/12,7,Bnei Sakhnin,M. Petah Tikva,3:0,3,8,3,Middle,Top,Middle vs Top
2011/12,8,Hapoel Tel Aviv,H. Petah Tikva,5:0,5,5,16,Middle,Bottom,Bottom vs Middle
2011/12,9,H Rishon leZion,Hapoel Acre,0:3,3,12,8,Bottom,Middle,Bottom vs Middle
2011/12,9,Maccabi Haifa,Kiryat Shmona,0:3,3,6,5,Middle,Middle,Middle vs Middle
2011/12,9,Bnei Sakhnin,B. Jerusalem,3:0,3,7,11,Middle,Bottom,Bottom vs Middle
2011/12,10,Hapoel Tel Aviv,H Rishon leZion,6:0,6,5,13,Middle,Bottom,Bottom vs Middle
2011/12,10,H. Beer Sheva,Kiryat Shmona,0:3,3,15,3,Bottom,Top,Bottom vs Top
2011/12,10,M. Petah Tikva,Maccabi Haifa,1:4,3,11,9,Bottom,Middle,Bottom vs Middle
2011/12,12,Hapoel Acre,M. Tel Aviv,3:0,3,4,2,Top,Top,Top vs Top
2011/12,12,Maccabi Netanya,H Rishon leZion,6:2,4,6,13,Middle,Bottom,Bottom vs Middle
2011/12,12,B. Jerusalem,Maccabi Haifa,1:4,3,11,7,Bottom,Middle,Bottom vs Middle
2011/12,14,Hapoel Tel Aviv,Maccabi Haifa,3:0,3,2,4,Top,Top,Top vs Top
2011/12,15,M. Petah Tikva,Hapoel Acre,0:4,4,10,8,Middle,Middle,Middle vs Middle
