season,season_year,week_start,weekly_matches,active_weekdays
2016/17,2016,2016-12-19,7,3
2016/17,2016,2016-12-26,7,3
2016/17,2016,2017-01-02,1,1
2016/17,2016,2017-01-09,12,5
2016/17,2016,2017-01-16,9,3
2016/17,2016,2017-01-23,6,2
2016/17,2016,2017-01-30,7,3
2016/17,2016,2017-02-06,7,3
2016/17,2016,2017-02-13,7,3
2016/17,2016,2017-02-20,7,3
2016/17,2016,2017-02-27,7,3
2016/17,2016,2017-03-06,7,3
2016/17,2016,2017-03-13,1,1
2017/18,2017,2017-08-14,6,2
2017/18,2017,2017-08-21,7,3
2017/18,2017,2017-08-28,1,1
2017/18,2017,2017-09-04,6,2
2017/18,2017,2017-09-11,7,3
2017/18,2017,2017-09-18,7,3
2017/18,2017,2017-09-25,5,2
2017/18,2017,2017-10-02,2,1
2017/18,2017,2017-10-09,6,2
2017/18,2017,2017-10-16,7,3
2017/18,2017,2017-10-23,7,3
2017/18,2017,2017-10-30,7,3
2017/18,2017,2017-11-06,1,1
2017/18,2017,2017-11-13,1,1
2017/18,2017,2017-11-20,6,2
2017/18,2017,2017-11-27,7,3
2017/18,2017,2017-12-04,7,3
2017/18,2017,2017-12-11,7,3
2017/18,2017,2017-12-18,7,3
2017/18,2017,2017-12-25,7,3
2017/18,2017,2018-01-01,1,1
2017/18,2017,2018-01-08,13,5
2017/18,2017,2018-01-15,7,3
2017/18,2017,2018-01-22,7,3
2017/18,2017,2018-01-29,7,3
2017/18,2017,2018-02-05,7,3
2017/18,2017,2018-02-12,7,3
2017/18,2017,2018-02-19,7,3
2017/18,2017,2018-02-26,7,3
2017/18,2017,2018-03-05,7,3
2017/18,2017,2018-03-12,1,1
2018/19,2018,2018-08-20,6,2
2018/19,2018,2018-08-27,7,3
2018/19,2018,2018-09-03,1,1
2018/19,2018,2018-09-10,6,2
2018/19,2018,2018-09-17,5,2
2018/19,2018,2018-09-24,7,2
2018/19,2018,2018-10-01,9,3
2018/19,2018,2018-10-08,1,1
2018/19,2018,2018-10-15,6,2
2018/19,2018,2018-10-22,7,3
2018/19,2018,2018-10-29,7,3
2018/19,2018,2018-11-05,7,3
2018/19,2018,2018-11-12,1,1
2018/19,2018,2018-11-26,7,2
2018/19,2018,2018-12-03,13,4
2018/19,2018,2018-12-10,7,3
2018/19,2018,2018-12-17,1,1
2018/19,2018,2018-12-24,13,5
2018/19,2018,2018-12-31,7,3
2018/19,2018,2019-01-07,7,3
2018/19,2018,2019-01-14,5,2
2018/19,2018,2019-01-21,9,3
2018/19,2018,2019-01-28,7,3
2018/19,2018,2019-02-04,7,3
2018/19,2018,2019-02-11,7,3
2018/19,2018,2019-02-18,7,3
2018/19,2018,2019-02-25,7,3
2018/19,2018,2019-03-04,7,3
2018/19,2018,2019-03-11,1,1
2019/20,2019,2019-08-19,6,2
2019/20,2019,2019-08-26,7,3
2019/20,2019,2019-09-02,1,1
2019/20,2019,2019-09-09,6,2
2019/20,2019,2019-09-16,7,3
2019/20,2019,2019-09-23,8,3
2019/20,2019,2019-09-30,6,2
2019/20,2019,2019-10-07,1,1
2019/20,2019,2019-10-14,4,1
2019/20,2019,2019-10-21,9,3
2019/20,2019,2019-10-28,7,3
2019/20,2019,2019-11-04,8,3
2019/20,2019,2019-11-25,7,2
2019/20,2019,2019-12-02,13,4
2019/20,2019,2019-12-09,7,3
