season,season_year,day_of_week_en,matches,day_of_week_he,total_matches,share_pct,matches_pct_change,share_pct_change,matches_rolling_mean_3
2024/25,2024,Saturday,105,שבת,182,57.692307692307686,25.0,24.99999999999998,99.66666666666667
2025/26,2025,Saturday,53,שבת,74,71.62162162162163,-49.523809523809526,24.144144144144164,80.66666666666667
2006/07,2006,Sunday,31,יום ראשון,198,15.656565656565657,,,31.0
2007/08,2007,Sunday,29,יום ראשון,198,14.646464646464647,-6.451612903225811,-6.451612903225811,30.0
2008/09,2008,Sunday,11,יום ראשון,198,5.555555555555555,-62.06896551724138,-62.06896551724138,23.666666666666668
2009/10,2009,Sunday,23,יום ראשון,240,9.583333333333334,109.09090909090908,72.50000000000001,21.0
2010/11,2010,Sunday,31,יום ראשון,240,12.916666666666668,34.78260869565217,34.78260869565217,21.666666666666668
2011/12,2011,Sunday,35,יום ראשון,240,14.583333333333334,12.903225806451623,12.903225806451601,29.666666666666668
2012/13,2012,Sunday,28,יום ראשון,182,15.384615384615385,-19.999999999999996,5.494505494505497,31.333333333333332
2013/14,2013,Sunday,26,יום ראשון,182,14.285714285714285,-7.14285714285714,-7.142857142857151,29.666666666666668
2014/15,2014,Sunday,25,יום ראשון,182,13.736263736263737,-3.8461538461538436,-3.8461538461538325,26.333333333333332
2015/16,2015,Sunday,27,יום ראשון,182,14.835164835164836,8.000000000000007,8.000000000000007,26.0
2016/17,2016,Sunday,46,יום ראשון,182,25.274725274725274,70.37037037037037,70.37037037037035,32.666666666666664
2017/18,2017,Sunday,53,יום ראשון,182,29.120879120879124,15.217391304347828,15.21739130434785,42.0
2018/19,2018,Sunday,41,יום ראשון,182,22.52747252747253,-22.64150943396226,-22.64150943396227,46.666666666666664
2019/20,2019,Sunday,45,יום ראשון,182,24.725274725274726,9.756097560975618,9.756097560975597,46.333333333333336
2020/21,2020,Sunday,36,יום ראשון,182,19.78021978021978,-19.999999999999996,-19.999999999999996,40.666666666666664
2021/22,2021,Sunday,52,יום ראשון,182,28.57142857142857,44.44444444444444,44.44444444444442,44.333333333333336
2022/23,2022,Sunday,34,יום ראשון,182,18.681318681318682,-34.61538461538461,-34.615384615384606,40.666666666666664
2023/24,2023,Sunday,38,יום ראשון,182,20.87912087912088,11.764705882352944,11.764705882352944,41.333333333333336
2024/25,2024,Sunday,32,יום ראשון,182,17.582417582417584,-15.789473684210531,-15.78947368421052,34.666666666666664
2025/26,2025,Sunday,13,יום ראשון,74,17.56756756756757,-59.375,-0.08445945945946276,27.666666666666668
