season,round,leader,leader_points,second,second_points,gap
2017/18,7,Hapoel Haifa,17,B. Jerusalem,14,3
2017/18,8,Hapoel Haifa,20,B. Jerusalem,17,3
2017/18,9,Hapoel Haifa,23,B. Jerusalem,20,3
2017/18,10,Hapoel Haifa,23,H. Beer Sheva,23,0
2017/18,11,Hapoel Haifa,24,H. Beer Sheva,24,0
2017/18,12,Hapoel Haifa,27,H. Beer Sheva,27,0
2017/18,13,H. Beer Sheva,30,Hapoel Haifa,28,2
2017/18,14,H. Beer Sheva,30,Hapoel Haifa,29,1
2017/18,15,H. Beer Sheva,33,Hapoel Haifa,32,1
2017/18,16,H. Beer Sheva,36,Hapoel Haifa,35,1
2017/18,17,H. Beer Sheva,37,B. Jerusalem,36,1
2017/18,18,H. Beer Sheva,38,M. Tel Aviv,38,0
2017/18,19,M. Tel Aviv,41,H. Beer Sheva,41,0
2017/18,20,H. Beer Sheva,44,M. Tel Aviv,42,2
2017/18,21,M. Tel Aviv,45,H. Beer Sheva,44,1
2017/18,22,M. Tel Aviv,48,H. Beer Sheva,47,1
2017/18,23,H. Beer Sheva,50,B. Jerusalem,49,1
2017/18,24,M. Tel Aviv,51,H. Beer Sheva,51,0
2017/18,25,H. Beer Sheva,54,B. Jerusalem,53,1
2017/18,26,H. Beer Sheva,57,B. Jerusalem,56,1
2018/19,1,Hapoel Haifa,3,M. Petah Tikva,3,0
2018/19,2,Hapoel Hadera,6,M. Petah Tikva,4,2
2018/19,3,M. Tel Aviv,7,Hapoel Hadera,7,0
2018/19,4,M. Tel Aviv,10,Hapoel Hadera,10,0
2018/19,5,Hapoel Hadera,13,M. Tel Aviv,11,2
2018/19,6,Hapoel Hadera,16,M. Tel Aviv,14,2
2018/19,7,M. Tel Aviv,17,Hapoel Hadera,16,1
2018/19,8,M. Tel Aviv,20,Hapoel Hadera,19,1
2018/19,9,M. Tel Aviv,23,Hapoel Hadera,19,4
2018/19,10,M. Tel Aviv,26,Bnei Yehuda,19,7
2018/19,11,M. Tel Aviv,27,Hapoel Hadera,20,7
2018/19,12,M. Tel Aviv,30,Bnei Yehuda,22,8
2018/19,13,M. Tel Aviv,33,Bnei Yehuda,22,11
2018/19,14,M. Tel Aviv,36,Bnei Yehuda,25,11
2018/19,15,M. Tel Aviv,39,Bnei Yehuda,26,13
2018/19,16,M. Tel Aviv,42,Bnei Yehuda,26,16
2018/19,17,M. Tel Aviv,45,Bnei Yehuda,29,16
2018/19,18,M. Tel Aviv,46,Bnei Yehuda,30,16
2018/19,19,M. Tel Aviv,49,Bnei Yehuda,31,18
2018/19,20,M. Tel Aviv,52,Bnei Yehuda,31,21
2018/19,21,M. Tel Aviv,53,Maccabi Haifa,33,20
2018/19,22,M. Tel Aviv,54,Bnei Yehuda,34,20
2018/19,23,M. Tel Aviv,57,Bnei Yehuda,37,20
2018/19,24,M. Tel Aviv,60,Maccabi Netanya,39,21
2018/19,25,M. Tel Aviv,63,Maccabi Netanya,42,21
2018/19,26,M. Tel Aviv,66,Maccabi Haifa,44,22
2019/20,1,M. Tel Aviv,3,Maccabi Haifa,3,0
2019/20,2,H. Beer Sheva,4,Maccabi Netanya,4,0
2019/20,3,Maccabi Haifa,7,M. Tel Aviv,7,0
2019/20,4,M. Tel Aviv,10,H. Beer Sheva,8,2
