season,season_year,home_team,away_team,home_goals,away_goals,goal_diff,result,home_points,away_points
2007/08,2007,M. Tel Aviv,Maccabi Netanya,0,2,-2,A,0,3
2007/08,2007,Bnei Yehuda,M. Petah Tikva,0,1,-1,A,0,3
2007/08,2007,Kiryat Shmona,H. Kfar Saba,2,2,0,D,1,1
2007/08,2007,Maccabi Herzlya,Bnei Sakhnin,0,1,-1,A,0,3
2007/08,2007,Maccabi Netanya,Maccabi Haifa,2,1,1,H,3,0
2007/08,2007,B. Jerusalem,M. Tel Aviv,2,0,2,H,3,0
2007/08,2007,Hapoel Tel Aviv,FC Ashdod,0,2,-2,A,0,3
2007/08,2007,H. Kfar Saba,Bnei Sakhnin,0,0,0,D,1,1
2007/08,2007,Kiryat Shmona,Maccabi Netanya,0,0,0,D,1,1
2007/08,2007,FC Ashdod,Maccabi Herzlya,0,1,-1,A,0,3
2007/08,2007,M. Petah Tikva,Hapoel Tel Aviv,2,1,1,H,3,0
2007/08,2007,M. Tel Aviv,Bnei Yehuda,3,1,2,H,3,0
2007/08,2007,Maccabi Haifa,B. Jerusalem,0,0,0,D,1,1
2007/08,2007,B. Jerusalem,Kiryat Shmona,0,0,0,D,1,1
2007/08,2007,Bnei Sakhnin,FC Ashdod,3,0,3,H,3,0
2007/08,2007,Bnei Yehuda,Maccabi Haifa,0,3,-3,A,0,3
2007/08,2007,Maccabi Herzlya,M. Petah Tikva,1,1,0,D,1,1
2007/08,2007,Maccabi Netanya,H. Kfar Saba,2,3,-1,A,0,3
2007/08,2007,Hapoel Tel Aviv,M. Tel Aviv,1,0,1,H,3,0
2007/08,2007,H. Kfar Saba,FC Ashdod,3,1,2,H,3,0
2007/08,2007,Kiryat Shmona,Bnei Yehuda,2,1,1,H,3,0
2007/08,2007,Maccabi Haifa,Hapoel Tel Aviv,2,0,2,H,3,0
2007/08,2007,M. Petah Tikva,Bnei Sakhnin,2,0,2,H,3,0
2007/08,2007,M. Tel Aviv,Maccabi Herzlya,2,0,2,H,3,0
2007/08,2007,Maccabi Netanya,B. Jerusalem,0,1,-1,A,0,3
2007/08,2007,Bnei Yehuda,Maccabi Netanya,1,2,-1,A,0,3
2007/08,2007,Maccabi Herzlya,Maccabi Haifa,0,1,-1,A,0,3
2007/08,2007,FC Ashdod,M. Petah Tikva,1,3,-2,A,0,3
