round,round_verified,round_original,home,score,away,season,season_year,match_date_raw,match_time_raw,match_date,day_of_week_en,day_of_week_he,day_of_week_num
19,19,110,Kiryat Shmona,1:2,M. Tel Aviv,2008/09,2008,07/02/09,5:15 PM,2009-02-07,Saturday,שבת,5
19,19,111,FC Ashdod,1:1,M. Petah Tikva,2008/09,2008,07/02/09,7:00 PM,2009-02-07,Saturday,שבת,5
19,19,112,H. Petah Tikva,1:1,Bnei Sakhnin,2008/09,2008,07/02/09,7:00 PM,2009-02-07,Saturday,שבת,5
19,19,113,Maccabi Haifa,2:0,Hakoah Amidar,2008/09,2008,07/02/09,7:15 PM,2009-02-07,Saturday,שבת,5
19,19,114,Hapoel Tel Aviv,4:0,B. Jerusalem,2008/09,2008,09/02/09,8:52 PM,2009-02-09,Monday,יום שני,0
20,20,115,M. Tel Aviv,1:2,H. Petah Tikva,2008/09,2008,21/02/09,5:15 PM,2009-02-21,Saturday,שבת,5
20,20,116,M. Petah Tikva,1:1,Hapoel Tel Aviv,2008/09,2008,21/02/09,5:20 PM,2009-02-21,Saturday,שבת,5
20,20,117,Hakoah Amidar,1:0,Kiryat Shmona,2008/09,2008,21/02/09,7:00 PM,2009-02-21,Saturday,שבת,5
20,20,118,Bnei Sakhnin,0:2,FC Ashdod,2008/09,2008,21/02/09,7:00 PM,2009-02-21,Saturday,שבת,5
20,20,119,B. Jerusalem,1:0,Bnei Yehuda,2008/09,2008,21/02/09,7:30 PM,2009-02-21,Saturday,שבת,5
20,20,120,Maccabi Netanya,2:0,Maccabi Haifa,2008/09,2008,23/02/09,8:50 PM,2009-02-23,Monday,יום שני,0
21,21,121,Bnei Yehuda,1:0,M. Petah Tikva,2008/09,2008,28/02/09,3:00 PM,2009-02-28,Saturday,שבת,5
21,21,122,Kiryat Shmona,1:0,Maccabi Haifa,2008/09,2008,28/02/09,5:15 PM,2009-02-28,Saturday,שבת,5
21,21,123,H. Petah Tikva,1:0,Hakoah Amidar,2008/09,2008,28/02/09,7:00 PM,2009-02-28,Saturday,שבת,5
21,21,124,FC Ashdod,1:0,M. Tel Aviv,2008/09,2008,28/02/09,7:15 PM,2009-02-28,Saturday,שבת,5
21,21,125,Hapoel Tel Aviv,1:0,Bnei Sakhnin,2008/09,2008,28/02/09,7:30 PM,2009-02-28,Saturday,שבת,5
21,21,126,B. Jerusalem,2:1,Maccabi Netanya,2008/09,2008,02/03/09,8:53 PM,2009-03-02,Monday,יום שני,0
22,22,127,Maccabi Netanya,2:1,Kiryat Shmona,2008/09,2008,07/03/09,5:00 PM,2009-03-07,Saturday,שבת,5
22,22,128,Maccabi Haifa,1:0,H. Petah Tikva,2008/09,2008,07/03/09,5:15 PM,2009-03-07,Saturday,שבת,5
22,22,129,Bnei Sakhnin,0:2,Bnei Yehuda,2008/09,2008,07/03/09,7:00 PM,2009-03-07,Saturday,שבת,5
22,22,130,Hakoah Amidar,1:1,FC Ashdod,2008/09,2008,07/03/09,7:05 PM,2009-03-07,Saturday,שבת,5
22,22,131,M. Petah Tikva,0:1,B. Jerusalem,2008/09,2008,07/03/09,7:30 PM,2009-03-07,Saturday,שבת,5
22,22,132,M. Tel Aviv,1:3,Hapoel Tel Aviv,2008/09,2008,09/03/09,8:50 PM,2009-03-09,Monday,יום שני,0
23,23,133,M. Petah Tikva,0:0,Bnei Sakhnin,2008/09,2008,14/03/09,3:03 PM,2009-03-14,Saturday,שבת,5
23,23,134,Maccabi Netanya,0:0,Hakoah Amidar,2008/09,2008,14/03/09,5:15 PM,2009-03-14,Saturday,שבת,5
23,23,135,FC Ashdod,2:0,Kiryat Shmona,2008/09,2008,14/03/09,7:00 PM,2009-03-14,Saturday,שבת,5
23,23,136,H. Petah Tikva,1:2,M. Tel Aviv,2008/09,2008,14/03/09,7:30 PM,2009-03-14,Saturday,שבת,5
23,23,137,Bnei Yehuda,0:1,Maccabi Haifa,2008/09,2008,15/03/09,8:00 PM,2009-03-15,Sunday,יום ראשון,6
23,23,138,B. Jerusalem,2:1,Hapoel Tel Aviv,2008/09,2008,16/03/09,8:50 PM,2009-03-16,Monday,יום שני,0
24,24,139,Hakoah Amidar,1:1,M. Tel Aviv,2008/09,2008,21/03/09,5:21 PM,2009-03-21,Saturday,שבת,5
24,24,140,Bnei Sakhnin,3:2,FC Ashdod,2008/09,2008,21/03/09,6:00 PM,2009-03-21,Saturday,שבת,5
24,24,141,Kiryat Shmona,1:1,H. Petah Tikva,2008/09,2008,21/03/09,7:00 PM,2009-03-21,Saturday,שבת,5
24,24,142,Maccabi Haifa,0:0,M. Petah Tikva,2008/09,2008,21/03/09,7:00 PM,2009-03-21,Saturday,שבת,5
24,24,143,Hapoel Tel Aviv,2:1,Bnei Yehuda,2008/09,2008,21/03/09,7:35 PM,2009-03-21,Saturday,שבת,5
24,24,144,Maccabi Netanya,1:0,B. Jerusalem,2008/09,2008,22/03/09,8:50 PM,2009-03-22,Sunday,יום ראשון,6
25,25,145,Bnei Yehuda,2:0,Maccabi Netanya,2008/09,2008,04/04/09,3:00 PM,2009-04-04,Saturday,שבת,5
25,25,146,M. Petah Tikva,1:2,Hapoel Tel Aviv,2008/09,2008,04/04/09,3:00 PM,2009-04-04,Saturday,שבת,5
25,25,147,B. Jerusalem,4:0,Hakoah Amidar,2008/09,2008,04/04/09,5:15 PM,2009-04-04,Saturday,שבת,5
25,25,148,H. Petah Tikva,2:2,Bnei Sakhnin,2008/09,2008,04/04/09,7:30 PM,2009-04-04,Saturday,שבת,5
25,25,149,M. Tel Aviv,3:2,Kiryat Shmona,2008/09,2008,04/04/09,7:30 PM,2009-04-04,Saturday,שבת,5
25,25,150,FC Ashdod,0:3,Maccabi Haifa,2008/09,2008,06/04/09,8:50 PM,2009-04-06,Monday,יום שני,0
26,26,151,Bnei Sakhnin,0:3,M. Tel Aviv,2008/09,2008,11/04/09,5:05 PM,2009-04-11,Saturday,שבת,5
26,26,152,Hakoah Amidar,1:0,Kiryat Shmona,2008/09,2008,11/04/09,6:30 PM,2009-04-11,Saturday,שבת,5
26,26,153,Maccabi Haifa,2:1,H. Petah Tikva,2008/09,2008,11/04/09,7:00 PM,2009-04-11,Saturday,שבת,5
26,26,154,Maccabi Netanya,1:2,M. Petah Tikva,2008/09,2008,11/04/09,7:00 PM,2009-04-11,Saturday,שבת,5
26,26,155,Hapoel Tel Aviv,1:0,FC Ashdod,2008/09,2008,11/04/09,7:27 PM,2009-04-11,Saturday,שבת,5
26,26,156,B. Jerusalem,2:2,Bnei Yehuda,2008/09,2008,13/04/09,8:50 PM,2009-04-13,Monday,יום שני,0
27,27,157,H. Petah Tikva,0:1,Hapoel Tel Aviv,2008/09,2008,18/04/09,3:00 PM,2009-04-18,Saturday,שבת,5
27,27,158,Kiryat Shmona,0:2,Bnei Sakhnin,2008/09,2008,18/04/09,5:15 PM,2009-04-18,Saturday,שבת,5
27,27,159,Bnei Yehuda,1:0,Hakoah Amidar,2008/09,2008,18/04/09,7:00 PM,2009-04-18,Saturday,שבת,5
27,27,160,FC Ashdod,0:0,Maccabi Netanya,2008/09,2008,18/04/09,7:00 PM,2009-04-18,Saturday,שבת,5
27,27,161,M. Petah Tikva,0:2,B. Jerusalem,2008/09,2008,18/04/09,7:30 PM,2009-04-18,Saturday,שבת,5
27,27,162,M. Tel Aviv,1:1,Maccabi Haifa,2008/09,2008,19/04/09,8:50 PM,2009-04-19,Sunday,יום ראשון,6
28,28,163,Maccabi Haifa,2:1,Kiryat Shmona,2008/09,2008,25/04/09,5:10 PM,2009-04-25,Saturday,שבת,5
28,28,164,Hakoah Amidar,1:1,Bnei Sakhnin,2008/09,2008,25/04/09,6:00 PM,2009-04-25,Saturday,שבת,5
28,28,165,Maccabi Netanya,1:0,H. Petah Tikva,2008/09,2008,25/04/09,7:00 PM,2009-04-25,Saturday,שבת,5
28,28,166,Bnei Yehuda,1:1,M. Petah Tikva,2008/09,2008,25/04/09,7:00 PM,2009-04-25,Saturday,שבת,5
28,28,167,B. Jerusalem,2:1,FC Ashdod,2008/09,2008,25/04/09,7:30 PM,2009-04-25,Saturday,שבת,5
28,28,168,Hapoel Tel Aviv,1:1,M. Tel Aviv,2008/09,2008,26/04/09,8:50 PM,2009-04-26,Sunday,יום ראשון,6
29,29,169,M. Petah Tikva,0:2,Hakoah Amidar,2008/09,2008,02/05/09,3:00 PM,2009-05-02,Saturday,שבת,5
29,29,170,M. Tel Aviv,0:1,Maccabi Netanya,2008/09,2008,02/05/09,5:10 PM,2009-05-02,Saturday,שבת,5
29,29,171,FC Ashdod,0:3,Bnei Yehuda,2008/09,2008,02/05/09,7:00 PM,2009-05-02,Saturday,שבת,5
29,29,172,Kiryat Shmona,1:3,Hapoel Tel Aviv,2008/09,2008,02/05/09,7:10 PM,2009-05-02,Saturday,שבת,5
29,29,173,H. Petah Tikva,0:0,B. Jerusalem,2008/09,2008,02/05/09,7:30 PM,2009-05-02,Saturday,שבת,5
29,29,174,Bnei Sakhnin,0:0,Maccabi Haifa,2008/09,2008,04/05/09,8:50 PM,2009-05-04,Monday,יום שני,0
30,30,175,Maccabi Haifa,2:0,Hakoah Amidar,2008/09,2008,09/05/09,5:10 PM,2009-05-09,Saturday,שבת,5
30,30,176,Maccabi Netanya,1:3,Kiryat Shmona,2008/09,2008,09/05/09,5:10 PM,2009-05-09,Saturday,שבת,5
30,30,177,Bnei Yehuda,2:1,H. Petah Tikva,2008/09,2008,09/05/09,7:00 PM,2009-05-09,Saturday,שבת,5
30,30,178,M. Petah Tikva,0:0,FC Ashdod,2008/09,2008,09/05/09,7:00 PM,2009-05-09,Saturday,שבת,5
30,30,179,B. Jerusalem,2:0,M. Tel Aviv,2008/09,2008,09/05/09,7:30 PM,2009-05-09,Saturday,שבת,5
30,30,180,Hapoel Tel Aviv,1:1,Bnei Sakhnin,2008/09,2008,11/05/09,8:50 PM,2009-05-11,Monday,יום שני,0
31,31,181,M. Tel Aviv,2:1,Bnei Yehuda,2008/09,2008,16/05/09,5:00 PM,2009-05-16,Saturday,שבת,5
31,31,182,Hakoah Amidar,0:0,FC Ashdod,2008/09,2008,16/05/09,7:10 PM,2009-05-16,Saturday,שבת,5
31,31,183,H. Petah Tikva,2:0,M. Petah Tikva,2008/09,2008,16/05/09,7:10 PM,2009-05-16,Saturday,שבת,5
31,31,184,Kiryat Shmona,2:0,B. Jerusalem,2008/09,2008,16/05/09,7:10 PM,2009-05-16,Saturday,שבת,5
31,31,185,Bnei Sakhnin,0:0,Maccabi Netanya,2008/09,2008,16/05/09,7:12 PM,2009-05-16,Saturday,שבת,5
