round,home,score,away,season,season_year
113,Hapoel Tel Aviv,2:1,M. Petah Tikva,2007/08,2007
114,B. Jerusalem,1:0,Maccabi Haifa,2007/08,2007
115,H. Kfar Saba,1:2,Maccabi Netanya,2007/08,2007
116,Maccabi Haifa,1:0,Bnei Yehuda,2007/08,2007
117,FC Ashdod,3:1,Bnei Sakhnin,2007/08,2007
118,M. Petah Tikva,1:1,Maccabi Herzlya,2007/08,2007
119,Kiryat Shmona,0:3,B. Jerusalem,2007/08,2007
120,M. Tel Aviv,1:3,Hapoel Tel Aviv,2007/08,2007
121,Bnei Yehuda,1:1,Kiryat Shmona,2007/08,2007
122,Bnei Sakhnin,1:0,M. Petah Tikva,2007/08,2007
123,Maccabi Herzlya,1:3,M. Tel Aviv,2007/08,2007
124,FC Ashdod,2:4,H. Kfar Saba,2007/08,2007
125,Hapoel Tel Aviv,2:0,Maccabi Haifa,2007/08,2007
126,B. Jerusalem,2:0,Maccabi Netanya,2007/08,2007
127,Kiryat Shmona,2:1,Hapoel Tel Aviv,2007/08,2007
128,Maccabi Haifa,1:1,Maccabi Herzlya,2007/08,2007
129,M. Petah Tikva,0:0,FC Ashdod,2007/08,2007
130,Maccabi Netanya,0:0,Bnei Yehuda,2007/08,2007
131,M. Tel Aviv,0:0,Bnei Sakhnin,2007/08,2007
132,H. Kfar Saba,1:1,B. Jerusalem,2007/08,2007
133,Kiryat Shmona,2:0,Bnei Yehuda,2007/08,2007
134,Bnei Sakhnin,1:1,Maccabi Netanya,2007/08,2007
135,H. Kfar Saba,3:3,Maccabi Herzlya,2007/08,2007
136,Maccabi Haifa,0:1,B. Jerusalem,2007/08,2007
137,M. Petah Tikva,0:3,FC Ashdod,2007/08,2007
138,M. Tel Aviv,2:1,Hapoel Tel Aviv,2007/08,2007
139,Kiryat Shmona,0:1,Bnei Sakhnin,2007/08,2007
140,Bnei Yehuda,2:3,Hapoel Tel Aviv,2007/08,2007
141,B. Jerusalem,4:0,M. Petah Tikva,2007/08,2007
142,FC Ashdod,3:1,H. Kfar Saba,2007/08,2007
143,Maccabi Herzlya,1:0,M. Tel Aviv,2007/08,2007
144,Maccabi Netanya,0:2,Maccabi Haifa,2007/08,2007
145,Bnei Sakhnin,1:3,Bnei Yehuda,2007/08,2007
146,Maccabi Haifa,2:1,Kiryat Shmona,2007/08,2007
147,Hapoel Tel Aviv,2:1,Maccabi Herzlya,2007/08,2007
