season,date,round,stage,home_team,away_team,home_goals,away_goals,venue,referee,fixture_id,league_id,league_name
2022/23,2023-04-15,Championship Round - 5,Ligat Ha'al,Hapoel Katamon,Maccabi Haifa,2,1,Teddi Malcha Stadium,I. Layba,1014716,383,Ligat Ha'al
2022/23,2023-04-15,Championship Round - 5,Ligat Ha'al,Maccabi Tel Aviv,Ashdod,1,1,Bloomfield Stadium,N. Odeh,1014714,383,Ligat Ha'al
2022/23,2023-04-15,Relegation Round - 3,Ligat Ha'al,Sektzia Nes Tziona,Maccabi Bnei Raina,1,2,HaMoshava Stadium,D. Fuxman,1014743,383,Ligat Ha'al
2022/23,2023-04-15,Relegation Round - 3,Ligat Ha'al,Hapoel Hadera,Ironi Kiryat Shmona,1,1,Netanya Stadium,R. Reinshreiber,1014741,383,Ligat Ha'al
2022/23,2023-04-16,Relegation Round - 3,Ligat Ha'al,Bnei Sakhnin,Beitar Jerusalem,4,3,HaMoshava Stadium,S. Levi,1014742,383,Ligat Ha'al
2022/23,2023-04-16,Championship Round - 5,Ligat Ha'al,Maccabi Netanya,Hapoel Beer Sheva,1,1,Netanya Stadium,A. Shiloach,1014715,383,Ligat Ha'al
2022/23,2023-04-22,Relegation Round - 4,Ligat Ha'al,Hapoel Tel Aviv,Maccabi Bnei Raina,1,2,Bloomfield Stadium,A. Shiloach,1014744,383,Ligat Ha'al
2022/23,2023-04-22,Championship Round - 6,Ligat Ha'al,Hapoel Katamon,Hapoel Beer Sheva,1,2,Teddi Malcha Stadium,S. Ben Avraham,1014718,383,Ligat Ha'al
2022/23,2023-04-22,Relegation Round - 4,Ligat Ha'al,Hapoel Haifa,Bnei Sakhnin,2,2,Sammy Ofer Stadium,M. Rushrush,1014747,383,Ligat Ha'al
2022/23,2023-04-22,Championship Round - 6,Ligat Ha'al,Maccabi Netanya,Maccabi Tel Aviv,0,0,Netanya Stadium,S. Levi,1014719,383,Ligat Ha'al
2022/23,2023-04-22,Relegation Round - 4,Ligat Ha'al,Ironi Kiryat Shmona,Sektzia Nes Tziona,1,1,Kiryat-Shmona Municipal Stadium,I. Frid,1014746,383,Ligat Ha'al
2022/23,2023-04-23,Relegation Round - 4,Ligat Ha'al,Beitar Jerusalem,Hapoel Hadera,2,1,HaMoshava Stadium,G. Levi,1014745,383,Ligat Ha'al
2022/23,2023-04-23,Championship Round - 6,Ligat Ha'al,Ashdod,Maccabi Haifa,1,2,Yud-Alef Stadium,O. Grinfeeld,1014717,383,Ligat Ha'al
2022/23,2023-04-29,Relegation Round - 5,Ligat Ha'al,Maccabi Bnei Raina,Ironi Kiryat Shmona,1,3,Green Stadium,O. Grinfeeld,1014751,383,Ligat Ha'al
2022/23,2023-04-29,Championship Round - 7,Ligat Ha'al,Maccabi Netanya,Ashdod,2,0,Netanya Stadium,Y. Mizrahi,1014720,383,Ligat Ha'al
2022/23,2023-04-29,Championship Round - 7,Ligat Ha'al,Maccabi Tel Aviv,Hapoel Katamon,2,1,Bloomfield Stadium,O. Asulin,1014721,383,Ligat Ha'al
2022/23,2023-04-29,Relegation Round - 5,Ligat Ha'al,Sektzia Nes Tziona,Beitar Jerusalem,1,3,HaMoshava Stadium,N. Odeh,1014750,383,Ligat Ha'al
2022/23,2023-04-30,Relegation Round - 5,Ligat Ha'al,Hapoel Hadera,Hapoel Haifa,1,2,Netanya Stadium,D. Tzino,1014749,383,Ligat Ha'al
2022/23,2023-04-30,Relegation Round - 5,Ligat Ha'al,Bnei Sakhnin,Hapoel Tel Aviv,0,1,HaMoshava Stadium,G. Laibuvitz,1014748,383,Ligat Ha'al
2022/23,2023-05-01,Championship Round - 7,Ligat Ha'al,Hapoel Beer Sheva,Maccabi Haifa,2,1,Yaakov Turner Toto Stadium,R. Reinshreiber,1014722,383,Ligat Ha'al
2022/23,2023-05-06,Relegation Round - 6,Ligat Ha'al,Hapoel Haifa,Sektzia Nes Tziona,0,1,Sammy Ofer Stadium,R. Geva,1014755,383,Ligat Ha'al
2022/23,2023-05-06,Relegation Round - 6,Ligat Ha'al,Beitar Jerusalem,Maccabi Bnei Raina,0,1,HaMoshava Stadium,D. Fuxman,1014754,383,Ligat Ha'al
2022/23,2023-05-06,Relegation Round - 6,Ligat Ha'al,Bnei Sakhnin,Hapoel Hadera,2,3,Doha Stadium,I. Layba,1014753,383,Ligat Ha'al
2022/23,2023-05-06,Relegation Round - 6,Ligat Ha'al,Hapoel Tel Aviv,Ironi Kiryat Shmona,2,2,Bloomfield Stadium,R. Reinshreiber,1014752,383,Ligat Ha'al
2022/23,2023-05-07,Championship Round - 8,Ligat Ha'al,Hapoel Katamon,Maccabi Netanya,1,4,Teddi Malcha Stadium,G. Laibuvitz,1014725,383,Ligat Ha'al
2022/23,2023-05-08,Championship Round - 8,Ligat Ha'al,Maccabi Haifa,Maccabi Tel Aviv,3,1,Sammy Ofer Stadium,O. Grinfeeld,1014724,383,Ligat Ha'al
2022/23,2023-05-08,Championship Round - 8,Ligat Ha'al,Ashdod,Hapoel Beer Sheva,0,1,Yud-Alef Stadium,I. Frid,1014723,383,Ligat Ha'al
2022/23,2023-05-13,Relegation Round - 7,Ligat Ha'al,Sektzia Nes Tziona,Bnei Sakhnin,1,1,HaMoshava Stadium,Y. Klez,1014757,383,Ligat Ha'al
2022/23,2023-05-13,Relegation Round - 7,Ligat Ha'al,Hapoel Hadera,Hapoel Tel Aviv,1,2,Netanya Stadium,G. Levi,1014756,383,Ligat Ha'al
2022/23,2023-05-13,Relegation Round - 7,Ligat Ha'al,Maccabi Bnei Raina,Hapoel Haifa,0,4,Green Stadium,Y. Mizrahi,1014758,383,Ligat Ha'al
2022/23,2023-05-13,Relegation Round - 7,Ligat Ha'al,Ironi Kiryat Shmona,Beitar Jerusalem,3,2,Kiryat-Shmona Municipal Stadium,O. Asulin,1014759,383,Ligat Ha'al
2022/23,2023-05-14,Championship Round - 9,Ligat Ha'al,Hapoel Katamon,Ashdod,0,1,Teddi Malcha Stadium,M. Rushrush,1014726,383,Ligat Ha'al
2022/23,2023-05-15,Championship Round - 9,Ligat Ha'al,Maccabi Tel Aviv,Hapoel Beer Sheva,3,0,Bloomfield Stadium,G. Laibuvitz,1014728,383,Ligat Ha'al
2022/23,2023-05-15,Championship Round - 9,Ligat Ha'al,Maccabi Netanya,Maccabi Haifa,1,5,Netanya Stadium,A. Shiloach,1014727,383,Ligat Ha'al
2022/23,2023-05-20,Championship Round - 10,Ligat Ha'al,Hapoel Beer Sheva,Maccabi Netanya,2,0,Yaakov Turner Toto Stadium,N. Odeh,1014730,383,Ligat Ha'al
2022/23,2023-05-20,Championship Round - 10,Ligat Ha'al,Maccabi Haifa,Hapoel Katamon,5,0,Sammy Ofer Stadium,E. Shmuelevich,1014731,383,Ligat Ha'al
2022/23,2023-05-20,Championship Round - 10,Ligat Ha'al,Ashdod,Maccabi Tel Aviv,1,2,Yud-Alef Stadium,S. Ben Avraham,1014729,383,Ligat Ha'al
