season,date,day_of_week,attendance,competition_stage,source_file,home_team,away_team
2009/10,09/11/09,Monday,4500.0,regular,ligat_haal_2009_10_attendance.csv,FC Ashdod,Maccabi Haifa
2009/10,21/11/09,Saturday,5500.0,regular,ligat_haal_2009_10_attendance.csv,Beitar Jerusalem,Hapoel Acre
2009/10,21/11/09,Saturday,3000.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Ramat Gan,Bnei Yehuda Tel Aviv
2009/10,21/11/09,Saturday,9000.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Tel Aviv,Hapoel Petah Tikva
2009/10,21/11/09,Saturday,6000.0,regular,ligat_haal_2009_10_attendance.csv,Maccabi Haifa,Maccabi Ahi Nazareth
2009/10,21/11/09,Saturday,2200.0,regular,ligat_haal_2009_10_attendance.csv,Maccabi Netanya,FC Ashdod
2009/10,21/11/09,Saturday,500.0,regular,ligat_haal_2009_10_attendance.csv,Maccabi Petah Tikva,Ihud Bnei Sakhnin
2009/10,22/11/09,Sunday,300.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Raanana,Hapoel Haifa
2009/10,23/11/09,Monday,6500.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Beer Sheva,Maccabi Tel Aviv
2009/10,28/11/09,Saturday,11000.0,regular,ligat_haal_2009_10_attendance.csv,Bnei Yehuda Tel Aviv,Hapoel Tel Aviv
2009/10,28/11/09,Saturday,3000.0,regular,ligat_haal_2009_10_attendance.csv,FC Ashdod,Beitar Jerusalem
2009/10,28/11/09,Saturday,2000.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Haifa,Hapoel Ramat Gan
2009/10,28/11/09,Saturday,3000.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Petah Tikva,Maccabi Petah Tikva
2009/10,28/11/09,Saturday,1500.0,regular,ligat_haal_2009_10_attendance.csv,Ihud Bnei Sakhnin,Hapoel Beer Sheva
2009/10,28/11/09,Saturday,300.0,regular,ligat_haal_2009_10_attendance.csv,Maccabi Ahi Nazareth,Maccabi Netanya
2009/10,29/11/09,Sunday,100.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Acre,Hapoel Raanana
2009/10,30/11/09,Monday,15000.0,regular,ligat_haal_2009_10_attendance.csv,Maccabi Tel Aviv,Maccabi Haifa
2009/10,05/12/09,Saturday,3000.0,regular,ligat_haal_2009_10_attendance.csv,Beitar Jerusalem,Hapoel Raanana
2009/10,05/12/09,Saturday,2500.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Beer Sheva,Hapoel Petah Tikva
2009/10,05/12/09,Saturday,800.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Ramat Gan,Hapoel Acre
2009/10,05/12/09,Saturday,6500.0,regular,ligat_haal_2009_10_attendance.csv,Maccabi Haifa,Ihud Bnei Sakhnin
2009/10,05/12/09,Saturday,4500.0,regular,ligat_haal_2009_10_attendance.csv,Maccabi Netanya,Maccabi Tel Aviv
2009/10,05/12/09,Saturday,1200.0,regular,ligat_haal_2009_10_attendance.csv,Maccabi Petah Tikva,Bnei Yehuda Tel Aviv
2009/10,06/12/09,Sunday,2000.0,regular,ligat_haal_2009_10_attendance.csv,FC Ashdod,Maccabi Ahi Nazareth
2009/10,07/12/09,Monday,7500.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Tel Aviv,Hapoel Haifa
2009/10,12/12/09,Saturday,3000.0,regular,ligat_haal_2009_10_attendance.csv,Bnei Yehuda Tel Aviv,Hapoel Beer Sheva
2009/10,12/12/09,Saturday,2200.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Haifa,Maccabi Petah Tikva
2009/10,12/12/09,Saturday,2000.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Petah Tikva,Maccabi Haifa
2009/10,12/12/09,Saturday,300.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Raanana,Hapoel Ramat Gan
2009/10,12/12/09,Saturday,800.0,regular,ligat_haal_2009_10_attendance.csv,Maccabi Ahi Nazareth,Beitar Jerusalem
2009/10,13/12/09,Sunday,2000.0,regular,ligat_haal_2009_10_attendance.csv,Ihud Bnei Sakhnin,Maccabi Netanya
2009/10,14/12/09,Monday,7500.0,regular,ligat_haal_2009_10_attendance.csv,Maccabi Tel Aviv,FC Ashdod
2009/10,29/12/09,Tuesday,1200.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Acre,Hapoel Tel Aviv
2009/10,19/12/09,Saturday,5000.0,regular,ligat_haal_2009_10_attendance.csv,Beitar Jerusalem,Hapoel Ramat Gan
2009/10,19/12/09,Saturday,1500.0,regular,ligat_haal_2009_10_attendance.csv,FC Ashdod,Ihud Bnei Sakhnin
2009/10,19/12/09,Saturday,2500.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Beer Sheva,Hapoel Haifa
2009/10,19/12/09,Saturday,700.0,regular,ligat_haal_2009_10_attendance.csv,Maccabi Ahi Nazareth,Maccabi Tel Aviv
2009/10,19/12/09,Saturday,2000.0,regular,ligat_haal_2009_10_attendance.csv,Maccabi Netanya,Hapoel Petah Tikva
2009/10,19/12/09,Saturday,200.0,regular,ligat_haal_2009_10_attendance.csv,Maccabi Petah Tikva,Hapoel Acre
2009/10,20/12/09,Sunday,8500.0,regular,ligat_haal_2009_10_attendance.csv,Maccabi Haifa,Bnei Yehuda Tel Aviv
2009/10,21/12/09,Monday,8000.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Tel Aviv,Hapoel Raanana
2009/10,26/12/09,Saturday,3000.0,regular,ligat_haal_2009_10_attendance.csv,Bnei Yehuda Tel Aviv,Maccabi Netanya
2009/10,26/12/09,Saturday,200.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Acre,Hapoel Beer Sheva
2009/10,26/12/09,Saturday,700.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Petah Tikva,FC Ashdod
2009/10,26/12/09,Saturday,200.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Raanana,Maccabi Petah Tikva
2009/10,26/12/09,Saturday,4000.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Ramat Gan,Hapoel Tel Aviv
2009/10,26/12/09,Saturday,12500.0,regular,ligat_haal_2009_10_attendance.csv,Maccabi Tel Aviv,Beitar Jerusalem
2009/10,27/12/09,Sunday,5000.0,regular,ligat_haal_2009_10_attendance.csv,Ihud Bnei Sakhnin,Maccabi Ahi Nazareth
2009/10,28/12/09,Monday,14000.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Haifa,Maccabi Haifa
2009/10,02/01/10,Saturday,1500.0,regular,ligat_haal_2009_10_attendance.csv,Bnei Yehuda Tel Aviv,FC Ashdod
2009/10,02/01/10,Saturday,2000.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Acre,Maccabi Haifa
2009/10,02/01/10,Saturday,2800.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Haifa,Maccabi Netanya
2009/10,02/01/10,Saturday,1500.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Petah Tikva,Maccabi Ahi Nazareth
2009/10,02/01/10,Saturday,700.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Raanana,Hapoel Beer Sheva
2009/10,02/01/10,Saturday,3500.0,regular,ligat_haal_2009_10_attendance.csv,Ihud Bnei Sakhnin,Maccabi Tel Aviv
2009/10,03/01/10,Sunday,300.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Ramat Gan,Maccabi Petah Tikva
2009/10,04/01/10,Monday,15000.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Tel Aviv,Beitar Jerusalem
2009/10,09/01/10,Saturday,1000.0,regular,ligat_haal_2009_10_attendance.csv,FC Ashdod,Hapoel Haifa
2009/10,09/01/10,Saturday,3000.0,regular,ligat_haal_2009_10_attendance.csv,Hapoel Beer Sheva,Hapoel Ramat Gan
