season,stage,round,team,points,position,goal_diff
2015/16,championship_playoff,33,H. Beer Sheva,77,1,39
2015/16,championship_playoff,33,M. Tel Aviv,74,2,44
2015/16,championship_playoff,33,B. Jerusalem,57,3,12
2015/16,championship_playoff,33,Bnei Sakhnin,47,4,9
2015/16,championship_playoff,33,Maccabi Haifa,47,5,7
2015/16,championship_playoff,33,Hapoel Raanana,40,6,-9
2015/16,championship_playoff,34,H. Beer Sheva,80,1,41
2015/16,championship_playoff,34,M. Tel Aviv,75,2,44
2015/16,championship_playoff,34,B. Jerusalem,57,3,10
2015/16,championship_playoff,34,Maccabi Haifa,50,4,8
2015/16,championship_playoff,34,Bnei Sakhnin,47,5,8
2015/16,championship_playoff,34,Hapoel Raanana,41,6,-9
2015/16,championship_playoff,35,H. Beer Sheva,80,1,40
2015/16,championship_playoff,35,M. Tel Aviv,78,2,46
2015/16,championship_playoff,35,B. Jerusalem,57,3,8
2015/16,championship_playoff,35,Maccabi Haifa,53,4,9
2015/16,championship_playoff,35,Bnei Sakhnin,48,5,8
2015/16,championship_playoff,35,Hapoel Raanana,42,6,-9
2015/16,championship_playoff,36,H. Beer Sheva,83,1,42
2015/16,championship_playoff,36,M. Tel Aviv,81,2,52
2015/16,championship_playoff,36,B. Jerusalem,60,3,9
2015/16,championship_playoff,36,Maccabi Haifa,53,4,3
2015/16,championship_playoff,36,Bnei Sakhnin,48,5,6
2015/16,championship_playoff,36,Hapoel Raanana,42,6,-10
2016/17,championship_playoff,27,H. Beer Sheva,62,1,45
2016/17,championship_playoff,27,M. Tel Aviv,59,2,29
2016/17,championship_playoff,27,M. Petah Tikva,48,3,12
2016/17,championship_playoff,27,B. Jerusalem,43,4,8
2016/17,championship_playoff,27,Bnei Sakhnin,39,5,-3
2016/17,championship_playoff,27,Maccabi Haifa,38,6,1
2016/17,championship_playoff,28,H. Beer Sheva,65,1,46
2016/17,championship_playoff,28,M. Tel Aviv,59,2,28
2016/17,championship_playoff,28,M. Petah Tikva,48,3,11
2016/17,championship_playoff,28,B. Jerusalem,43,4,7
2016/17,championship_playoff,28,Bnei Sakhnin,42,5,-2
2016/17,championship_playoff,28,Maccabi Haifa,41,6,2
2016/17,championship_playoff,29,H. Beer Sheva,68,1,47
2016/17,championship_playoff,29,M. Tel Aviv,62,2,31
2016/17,championship_playoff,29,M. Petah Tikva,48,3,10
2016/17,championship_playoff,29,B. Jerusalem,46,4,10
2016/17,championship_playoff,29,Bnei Sakhnin,42,5,-5
2016/17,championship_playoff,29,Maccabi Haifa,41,6,-1
2016/17,championship_playoff,30,H. Beer Sheva,71,1,49
2016/17,championship_playoff,30,M. Tel Aviv,65,2,33
2016/17,championship_playoff,30,M. Petah Tikva,48,3,8
2016/17,championship_playoff,30,B. Jerusalem,46,4,8
2016/17,championship_playoff,30,Bnei Sakhnin,45,5,-4
2016/17,championship_playoff,30,Maccabi Haifa,41,6,-2
2016/17,championship_playoff,31,H. Beer Sheva,74,1,51
2016/17,championship_playoff,31,M. Tel Aviv,66,2,33
2016/17,championship_playoff,31,M. Petah Tikva,48,3,7
2016/17,championship_playoff,31,B. Jerusalem,47,4,8
